,,Channel Description:,G's,msec,In/S,Filter Hz,Max G's,Min G's
Ch 1,,356A24 - 11340 X                                            ,6.03000,1.50,2.13,500.00,6.03,-3.96
Ch 2,,356A24 - 11340 Y                                            ,91.20000,11.50,227.81,500.00,91.20,-11.74
Ch 3,,356A24 - 11340 Z                                            ,12.51000,6.40,19.37,500.00,12.51,-1.70
Time (msec),Channel 1 (G's),Channel 2 (G's),Channel 3 (G's),,,,,
11.00000,-0.04941,0.02387,-0.08245,,,,,
11.10000,-0.04774,0.01937,-0.07588,,,,,
11.20000,-0.03300,0.00564,-0.07186,,,,,
11.30000,-0.01244,0.00409,-0.08101,,,,,
11.40000,0.00311,0.00947,-0.08238,,,,,
11.50000,0.00503,0.01817,-0.06791,,,,,
11.60000,0.00539,0.02785,-0.06597,,,,,
11.70000,0.00174,0.01478,-0.07686,,,,,
11.80000,0.00244,-0.00325,-0.10233,,,,,
11.90000,0.00238,-0.00630,-0.11066,,,,,
12.00000,0.00191,-0.00074,-0.11717,,,,,
12.10000,0.00125,0.00906,-0.11349,,,,,
12.20000,0.00055,0.03302,-0.09032,,,,,
12.30000,-0.00010,0.05291,-0.07280,,,,,
12.40000,-0.00066,0.06857,-0.06583,,,,,
12.50000,-0.00111,0.07715,-0.06258,,,,,
12.60000,-0.00146,0.08413,-0.05035,,,,,
12.70000,-0.00172,0.08635,-0.04854,,,,,
12.80000,0.01362,0.08570,-0.05554,,,,,
12.90000,0.02060,0.08352,-0.06390,,,,,
13.00000,0.02223,0.08071,-0.07220,,,,,
13.10000,0.02385,0.06187,-0.07965,,,,,
13.20000,0.01597,0.05193,-0.08588,,,,,
13.30000,0.00360,0.05431,-0.09366,,,,,
13.40000,-0.00694,0.04096,-0.09870,,,,,
13.50000,-0.00922,0.03613,-0.09888,,,,,
13.60000,-0.01289,0.02058,-0.09633,,,,,
13.70000,-0.00455,0.01654,-0.09536,,,,,
13.80000,-0.00588,0.01931,-0.09821,,,,,
13.90000,0.00928,-0.02228,-0.09722,,,,,
14.00000,0.03521,-0.03655,-0.09703,,,,,
14.10000,0.04283,-0.05338,-0.08310,,,,,
14.20000,0.05195,-0.08272,-0.07995,,,,,
14.30000,0.05168,-0.14485,-0.07743,,,,,
14.40000,0.03069,-0.21268,-0.08118,,,,,
14.50000,-0.00594,-0.22274,-0.07385,,,,,
14.60000,-0.06628,-0.19332,-0.05823,,,,,
14.70000,-0.06554,-0.08106,-0.03387,,,,,
14.80000,-0.07749,-0.01999,-0.02695,,,,,
14.90000,-0.02081,0.03533,-0.03893,,,,,
15.00000,-0.02472,-0.00736,-0.04033,,,,,
15.10000,-0.02466,-0.07157,-0.04424,,,,,
15.20000,-0.02861,-0.18607,-0.04633,,,,,
15.30000,0.00907,-0.25661,-0.06139,,,,,
15.40000,0.03822,-0.32446,-0.07082,,,,,
15.50000,0.06907,-0.38412,-0.07619,,,,,
15.60000,0.06367,-0.42059,-0.08445,,,,,
15.70000,0.08522,-0.48204,-0.09918,,,,,
15.80000,0.09790,-0.54812,-0.09333,,,,,
15.90000,0.13544,-0.58472,-0.09083,,,,,
16.00000,0.18309,-0.61729,-0.08759,,,,,
16.10000,0.25961,-0.65716,-0.09562,,,,,
16.20000,0.25767,-0.73225,-0.11766,,,,,
16.30000,0.26511,-0.84822,-0.13677,,,,,
16.40000,0.26461,-1.02651,-0.16090,,,,,
16.50000,0.27526,-1.20907,-0.18259,,,,,
16.60000,0.28486,-1.39194,-0.19795,,,,,
16.70000,0.33329,-1.55056,-0.21111,,,,,
16.80000,0.34884,-1.71833,-0.23312,,,,,
16.90000,0.39115,-1.84910,-0.26924,,,,,
17.00000,0.39449,-2.03255,-0.32100,,,,,
17.10000,0.35720,-2.23355,-0.35929,,,,,
17.20000,0.30101,-2.41489,-0.38349,,,,,
17.30000,0.29266,-2.60890,-0.39461,,,,,
17.40000,0.28066,-2.75888,-0.39738,,,,,
17.50000,0.23988,-2.79302,-0.40375,,,,,
