,,Channel Description:,G's,msec,In/S,Filter Hz,Max G's,Min G's
Ch 1,,356A24 - 11340 X                                            ,6.03000,1.50,2.13,500.00,6.03,-3.96
Ch 2,,356A24 - 11340 Y                                            ,91.20000,11.50,227.81,500.00,91.20,-11.74
Ch 3,,356A24 - 11340 Z                                            ,12.51000,6.40,19.37,500.00,12.51,-1.70
Time (msec),Channel 1 (G's),Channel 2 (G's),Channel 3 (G's),,,,,
49.00000,0.89058,-11.40915,-0.25566,,,,,
49.10000,0.74052,-11.50590,-0.58176,,,,,
49.20000,0.90677,-11.73517,-0.41717,,,,,
49.30000,0.91255,-11.49538,-0.33994,,,,,
49.40000,1.10496,-10.86545,-0.29049,,,,,
49.50000,1.20819,-10.50204,-0.32101,,,,,
49.60000,1.32931,-10.03865,-0.14576,,,,,
49.70000,1.34284,-9.27508,-0.06383,,,,,
49.80000,1.23314,-8.49664,0.01782,,,,,
49.90000,1.08753,-7.92395,0.08274,,,,,
50.00000,0.99533,-7.46151,0.05238,,,,,
50.10000,0.85807,-7.07406,-0.01087,,,,,
50.20000,0.80868,-6.83673,-0.02080,,,,,
50.30000,0.74158,-6.63605,-0.04275,,,,,
50.40000,0.88551,-6.66059,-0.08058,,,,,
50.50000,1.01762,-6.69939,-0.10644,,,,,
50.60000,1.19223,-6.89544,-0.14584,,,,,
50.70000,1.32043,-7.19781,-0.19456,,,,,
50.80000,1.35119,-7.53580,-0.23795,,,,,
50.90000,1.31856,-7.83152,-0.28264,,,,,
51.00000,1.20734,-8.02988,-0.33784,,,,,
51.10000,1.09448,-8.17052,-0.39912,,,,,
51.20000,0.99495,-8.24925,-0.42362,,,,,
51.30000,0.93750,-8.20923,-0.42244,,,,,
51.40000,0.89667,-8.19013,-0.42698,,,,,
51.50000,0.90017,-8.22282,-0.43142,,,,,
51.60000,0.92484,-8.25235,-0.44957,,,,,
51.70000,0.98059,-8.36974,-0.46786,,,,,
51.80000,1.04189,-8.36803,-0.51285,,,,,
51.90000,1.08470,-8.33221,-0.53981,,,,,
52.00000,1.07265,-8.20439,-0.55409,,,,,
52.10000,1.01887,-7.96148,-0.55424,,,,,
52.20000,0.91617,-7.61798,-0.54083,,,,,
52.30000,0.83367,-7.22056,-0.50701,,,,,
52.40000,0.77676,-6.77179,-0.46518,,,,,
52.50000,0.73657,-6.39302,-0.42303,,,,,
52.60000,0.67239,-6.03628,-0.37634,,,,,
52.70000,0.57946,-5.77166,-0.32036,,,,,
52.80000,0.52942,-5.44078,-0.27043,,,,,
52.90000,0.51747,-5.10573,-0.22880,,,,,
53.00000,0.53096,-4.71528,-0.19588,,,,,
53.10000,0.55416,-4.37726,-0.17673,,,,,
53.20000,0.52147,-4.04110,-0.15576,,,,,
53.30000,0.46715,-3.74874,-0.13870,,,,,
53.40000,0.39065,-3.49999,-0.12264,,,,,
53.50000,0.34664,-3.32874,-0.12009,,,,,
53.60000,0.33434,-3.23023,-0.15088,,,,,
53.70000,0.29430,-3.18824,-0.16021,,,,,
53.80000,0.23969,-3.21372,-0.17659,,,,,
53.90000,0.21653,-3.27416,-0.20664,,,,,
54.00000,0.20381,-3.33213,-0.22142,,,,,
54.10000,0.19506,-3.42447,-0.24900,,,,,
54.20000,0.19247,-3.54914,-0.26391,,,,,
54.30000,0.19046,-3.72094,-0.29020,,,,,
54.40000,0.17033,-3.93389,-0.30318,,,,,
54.50000,0.17008,-4.11359,-0.33589,,,,,
54.60000,0.17157,-4.29217,-0.37634,,,,,
54.70000,0.17079,-4.47485,-0.41993,,,,,
54.80000,0.13466,-4.65133,-0.44677,,,,,
54.90000,0.09798,-4.74315,-0.47301,,,,,
55.00000,0.07703,-4.84267,-0.48496,,,,,
55.10000,0.07932,-4.89198,-0.48495,,,,,
55.20000,0.09118,-4.86065,-0.48398,,,,,
55.30000,0.10409,-4.75571,-0.49109,,,,,
55.40000,0.10079,-4.66169,-0.48495,,,,,
55.50000,0.08569,-4.49687,-0.47488,,,,,
55.60000,0.06553,-4.31536,-0.45795,,,,,
55.70000,0.03523,-4.12014,-0.43319,,,,,
55.80000,0.16375,-3.87597,-0.41505,,,,,
55.90000,0.11013,-3.59677,-0.40522,,,,,
56.00000,0.09099,-3.38629,-0.38677,,,,,
56.10000,-0.00336,-3.19010,-0.34830,,,,,
56.20000,-0.07430,-2.93507,-0.31955,,,,,
56.30000,-0.10349,-2.70123,-0.26494,,,,,
56.40000,-0.01966,-2.40652,-0.22693,,,,,
56.50000,0.01003,-2.08474,-0.21326,,,,,
56.60000,0.01912,-1.80839,-0.18320,,,,,
56.70000,0.03140,-1.56222,-0.13848,,,,,
56.80000,0.07217,-1.35075,-0.02468,,,,,
56.90000,0.06266,-1.24643,0.02820,,,,,
57.00000,0.03235,-1.15132,0.07326,,,,,
57.10000,-0.00653,-1.03882,0.04986,,,,,
57.20000,-0.02769,-0.89904,0.05323,,,,,
57.30000,-0.09903,-0.74833,0.02853,,,,,
57.40000,-0.17258,-0.70851,0.00487,,,,,
57.50000,-0.24631,-0.84911,-0.03860,,,,,
57.60000,-0.30355,-1.06653,-0.09732,,,,,
57.70000,-0.36460,-1.27008,-0.12463,,,,,
57.80000,-0.37828,-1.49049,-0.14029,,,,,
57.90000,-0.34564,-1.66663,-0.19058,,,,,
58.00000,-0.27808,-1.86139,-0.24092,,,,,
58.10000,-0.23193,-2.08557,-0.27213,,,,,
58.20000,-0.18670,-2.35822,-0.29814,,,,,
58.30000,-0.16819,-2.66598,-0.32723,,,,,
58.40000,-0.17877,-3.02031,-0.35231,,,,,
58.50000,-0.19206,-3.29537,-0.37837,,,,,
58.60000,-0.19622,-3.48645,-0.39956,,,,,
58.70000,-0.18558,-3.67263,-0.41312,,,,,
58.80000,-0.19262,-3.77710,-0.40973,,,,,
58.90000,-0.21188,-3.79393,-0.39157,,,,,
59.00000,-0.23914,-3.79231,-0.37268,,,,,
59.10000,-0.24331,-3.78060,-0.36093,,,,,
59.20000,-0.21872,-3.73253,-0.32873,,,,,
59.30000,-0.25199,-3.59242,-0.25994,,,,,
59.40000,-0.28308,-3.34480,-0.22306,,,,,
59.50000,-0.30988,-2.95658,-0.20187,,,,,
59.60000,-0.24161,-2.80294,-0.18298,,,,,
59.70000,-0.15830,-2.74059,-0.16153,,,,,
59.80000,-0.16801,-2.79892,-0.16067,,,,,
59.90000,-0.24397,-2.81009,-0.16566,,,,,
60.00000,-0.32441,-2.93114,-0.18762,,,,,
60.10000,-0.34973,-2.90987,-0.20831,,,,,
60.20000,-0.31085,-2.80522,-0.21204,,,,,
60.30000,-0.24946,-2.66458,-0.18326,,,,,
60.40000,-0.20646,-2.46994,-0.14492,,,,,
60.50000,-0.21208,-2.35705,-0.13916,,,,,
60.60000,-0.24416,-2.36134,-0.11230,,,,,
60.70000,-0.25983,-2.54519,-0.09908,,,,,
60.80000,-0.27726,-2.66073,-0.10612,,,,,
60.90000,-0.27221,-2.84494,-0.13509,,,,,
61.00000,-0.26758,-2.98214,-0.18191,,,,,
61.10000,-0.27918,-3.17859,-0.20846,,,,,
61.20000,-0.29864,-3.36623,-0.22112,,,,,
61.30000,-0.28330,-3.58789,-0.23049,,,,,
61.40000,-0.25012,-3.72043,-0.23428,,,,,
61.50000,-0.21031,-3.81908,-0.23742,,,,,
61.60000,-0.16454,-3.88279,-0.21149,,,,,
61.70000,-0.09512,-4.08031,-0.21173,,,,,
61.80000,-0.07842,-4.25932,-0.24923,,,,,
61.90000,-0.11439,-4.44547,-0.30374,,,,,
62.00000,-0.14503,-4.58851,-0.32253,,,,,
62.10000,-0.17280,-4.66155,-0.37361,,,,,
62.20000,-0.15275,-4.62788,-0.37508,,,,,
62.30000,-0.07706,-4.50631,-0.33178,,,,,
62.40000,-0.06486,-4.31919,-0.36734,,,,,
62.50000,-0.07052,-4.17472,-0.39205,,,,,
62.60000,-0.05138,-4.05865,-0.39126,,,,,
62.70000,-0.07315,-4.04638,-0.37068,,,,,
62.80000,-0.11239,-3.97177,-0.32978,,,,,
62.90000,-0.19783,-3.94964,-0.31003,,,,,
63.00000,-0.27568,-3.83124,-0.29546,,,,,
63.10000,-0.34783,-3.80184,-0.28237,,,,,
63.20000,-0.39728,-3.72589,-0.25434,,,,,
63.30000,-0.40438,-3.66347,-0.21225,,,,,
63.40000,-0.36863,-3.63069,-0.17219,,,,,
63.50000,-0.34364,-3.60165,-0.13152,,,,,
63.60000,-0.33020,-3.62224,-0.12295,,,,,
63.70000,-0.36797,-3.66199,-0.12737,,,,,
63.80000,-0.38701,-3.79461,-0.12437,,,,,
63.90000,-0.39376,-3.87960,-0.15165,,,,,
64.00000,-0.37438,-3.99036,-0.17884,,,,,
64.10000,-0.34861,-4.08217,-0.20331,,,,,
64.20000,-0.35598,-4.19907,-0.21816,,,,,
64.30000,-0.36551,-4.29602,-0.21768,,,,,
64.40000,-0.36910,-4.35000,-0.21725,,,,,
64.50000,-0.35350,-4.40348,-0.20553,,,,,
64.60000,-0.31637,-4.51521,-0.20858,,,,,
64.70000,-0.28645,-4.61639,-0.22806,,,,,
64.80000,-0.26660,-4.73362,-0.25190,,,,,
64.90000,-0.24809,-4.87054,-0.26730,,,,,
65.00000,-0.23837,-4.95064,-0.28500,,,,,
65.10000,-0.23449,-4.95935,-0.28520,,,,,
65.20000,-0.23114,-4.92754,-0.28416,,,,,
65.30000,-0.23151,-4.87634,-0.28254,,,,,
65.40000,-0.22149,-4.79071,-0.28077,,,,,
65.50000,-0.21601,-4.71035,-0.27907,,,,,
65.60000,-0.22601,-4.64085,-0.26339,,,,,
65.70000,-0.24362,-4.55233,-0.25000,,,,,
65.80000,-0.26063,-4.43008,-0.23921,,,,,
65.90000,-0.24456,-4.30753,-0.23661,,,,,
66.00000,-0.24586,-4.14586,-0.21608,,,,,
66.10000,-0.27531,-3.94650,-0.17342,,,,,
66.20000,-0.31439,-3.71715,-0.12266,,,,,
66.30000,-0.34255,-3.49378,-0.07810,,,,,
66.40000,-0.34323,-3.29577,-0.05842,,,,,
66.50000,-0.32236,-3.09949,-0.04884,,,,,
66.60000,-0.31952,-2.92355,-0.03160,,,,,
66.70000,-0.32077,-2.77627,-0.02602,,,,,
66.80000,-0.30865,-2.67541,-0.01610,,,,,
66.90000,-0.27165,-2.61349,-0.02179,,,,,
67.00000,-0.22449,-2.58252,-0.04129,,,,,
67.10000,-0.19186,-2.60370,-0.05232,,,,,
67.20000,-0.17984,-2.68368,-0.06325,,,,,
67.30000,-0.18667,-2.78844,-0.07019,,,,,
67.40000,-0.17846,-2.90302,-0.09413,,,,,
67.50000,-0.17202,-3.00536,-0.12799,,,,,
67.60000,-0.16409,-3.09399,-0.14413,,,,,
67.70000,-0.15611,-3.16945,-0.16588,,,,,
67.80000,-0.17064,-3.23013,-0.17439,,,,,
67.90000,-0.18692,-3.27662,-0.18608,,,,,
68.00000,-0.21188,-3.30425,-0.19268,,,,,
68.10000,-0.20505,-3.32506,-0.20150,,,,,
68.20000,-0.17812,-3.32406,-0.20500,,,,,
68.30000,-0.15820,-3.32701,-0.20519,,,,,
68.40000,-0.14415,-3.36375,-0.20353,,,,,
68.50000,-0.14405,-3.38375,-0.20952,,,,,
68.60000,-0.15483,-3.39247,-0.21918,,,,,
68.70000,-0.14885,-3.37810,-0.21571,,,,,
68.80000,-0.13105,-3.30766,-0.21098,,,,,
68.90000,-0.10843,-3.24172,-0.20884,,,,,
69.00000,-0.08847,-3.15608,-0.19985,,,,,
69.10000,-0.10301,-3.05198,-0.17940,,,,,
69.20000,-0.09803,-2.93196,-0.17165,,,,,
69.30000,-0.08889,-2.81492,-0.16036,,,,,
69.40000,-0.08146,-2.70472,-0.13685,,,,,
69.50000,-0.08813,-2.58367,-0.11739,,,,,
69.60000,-0.09577,-2.46853,-0.10495,,,,,
69.70000,-0.09387,-2.39995,-0.11469,,,,,
69.80000,-0.08997,-2.35763,-0.13294,,,,,
69.90000,-0.09155,-2.32451,-0.14276,,,,,
70.00000,-0.09602,-2.28382,-0.14125,,,,,
70.10000,-0.10166,-2.24293,-0.13642,,,,,
70.20000,-0.11360,-2.20598,-0.12739,,,,,
70.30000,-0.12165,-2.20675,-0.13680,,,,,
70.40000,-0.11743,-2.22843,-0.14701,,,,,
70.50000,-0.10370,-2.27872,-0.14529,,,,,
70.60000,-0.08915,-2.34314,-0.12575,,,,,
70.70000,-0.08489,-2.41862,-0.12096,,,,,
70.80000,-0.09299,-2.50557,-0.11631,,,,,
70.90000,-0.09162,-2.57754,-0.11505,,,,,
71.00000,-0.06029,-2.62452,-0.12432,,,,,
71.10000,-0.01540,-2.65296,-0.14136,,,,,
71.20000,-0.06677,-2.64598,-0.16389,,,,,
71.30000,-0.09204,-2.65189,-0.15030,,,,,
71.40000,-0.05995,-2.60058,-0.14639,,,,,
71.50000,-0.07366,-2.52253,-0.15394,,,,,
71.60000,-0.05559,-2.45327,-0.15005,,,,,
71.70000,-0.04648,-2.37979,-0.14588,,,,,
71.80000,-0.04325,-2.25059,-0.13628,,,,,
71.90000,-0.04050,-2.16380,-0.12177,,,,,
72.00000,0.01761,-2.10915,-0.12869,,,,,
72.10000,0.01380,-2.01712,-0.12696,,,,,
72.20000,-0.01473,-1.90702,-0.10637,,,,,
72.30000,-0.02623,-1.79776,-0.09438,,,,,
72.40000,-0.03645,-1.72845,-0.09121,,,,,
72.50000,-0.01701,-1.66585,-0.08472,,,,,
72.60000,-0.00163,-1.61316,-0.07702,,,,,
72.70000,-0.01797,-1.57118,-0.06089,,,,,
72.80000,-0.04722,-1.55843,-0.05019,,,,,
72.90000,-0.07144,-1.56319,-0.04357,,,,,
73.00000,-0.08427,-1.58040,-0.04270,,,,,
73.10000,-0.07397,-1.58049,-0.04512,,,,,
73.20000,-0.05184,-1.57107,-0.02924,,,,,
73.30000,-0.05327,-1.57323,-0.01612,,,,,
73.40000,-0.03969,-1.61673,-0.01719,,,,,
73.50000,-0.00670,-1.68846,-0.02036,,,,,
73.60000,0.00587,-1.76243,-0.01587,,,,,
73.70000,-0.00656,-1.80801,-0.01039,,,,,
73.80000,-0.01303,-1.86203,-0.01344,,,,,
73.90000,-0.00002,-1.91540,-0.02092,,,,,
74.00000,0.01632,-1.93125,-0.03013,,,,,
74.10000,0.02048,-1.93743,-0.01382,,,,,
74.20000,-0.00428,-1.95679,0.00370,,,,,
74.30000,-0.03335,-1.98155,0.00028,,,,,
74.40000,-0.03090,-2.00687,-0.01445,,,,,
74.50000,-0.01427,-1.96938,-0.02549,,,,,
74.60000,0.00548,-1.92302,-0.02769,,,,,
74.70000,0.01261,-1.88588,-0.02478,,,,,
74.80000,0.01512,-1.82562,-0.01362,,,,,
74.90000,-0.00693,-1.72975,0.01238,,,,,
75.00000,-0.01870,-1.65226,0.03554,,,,,
75.10000,-0.02360,-1.62773,0.05200,,,,,
75.20000,-0.02421,-1.57125,0.06595,,,,,
75.30000,-0.01305,-1.51534,0.06860,,,,,
75.40000,-0.00887,-1.46527,0.07039,,,,,
75.50000,0.01275,-1.42338,0.05448,,,,,
75.60000,0.02330,-1.37742,0.04452,,,,,
75.70000,0.03907,-1.33373,0.03884,,,,,
75.80000,0.05309,-1.28284,0.04178,,,,,
75.90000,0.06475,-1.26808,0.04354,,,,,
76.00000,0.06152,-1.24614,0.05016,,,,,
76.10000,0.05656,-1.24151,0.06734,,,,,
76.20000,0.04490,-1.23420,0.09154,,,,,
76.30000,0.09278,-1.25484,-0.00777,,,,,
76.40000,0.08829,-1.37512,0.01878,,,,,
76.50000,0.07998,-1.45275,0.01320,,,,,
76.60000,0.09831,-1.49902,0.01020,,,,,
76.70000,0.12032,-1.51691,0.02599,,,,,
76.80000,0.14842,-1.61299,0.02792,,,,,
76.90000,0.18333,-1.53245,0.05038,,,,,
77.00000,0.17201,-1.63611,0.08203,,,,,
77.10000,0.12369,-1.52559,0.08157,,,,,
77.20000,0.10616,-1.49841,0.07751,,,,,
77.30000,0.10747,-1.38939,0.06333,,,,,
77.40000,0.09428,-1.45625,0.05061,,,,,
77.50000,0.07433,-1.34303,0.04564,,,,,
77.60000,0.05881,-1.33237,0.05683,,,,,
77.70000,0.07832,-1.34145,0.07021,,,,,
77.80000,0.07502,-1.33189,0.08918,,,,,
77.90000,0.09352,-1.30654,0.12642,,,,,
78.00000,0.06952,-1.27173,0.12753,,,,,
78.10000,0.04601,-1.24466,0.13401,,,,,
78.20000,0.02509,-1.19266,0.14285,,,,,
78.30000,0.03252,-1.19257,0.13791,,,,,
78.40000,0.01460,-1.16070,0.14001,,,,,
78.50000,-0.00943,-1.17494,0.15150,,,,,
78.60000,-0.00343,-1.15278,0.14435,,,,,
78.70000,0.00004,-1.14449,0.15026,,,,,
78.80000,0.06075,-1.13514,0.14297,,,,,
78.90000,0.08207,-1.20272,0.12053,,,,,
79.00000,0.08251,-1.23936,0.10894,,,,,
79.10000,0.07440,-1.25519,0.09600,,,,,
79.20000,0.09650,-1.30895,0.08927,,,,,
79.30000,0.09905,-1.32744,0.08381,,,,,
79.40000,0.09980,-1.32449,0.08244,,,,,
79.50000,0.09947,-1.33864,0.08347,,,,,
79.60000,0.09858,-1.33218,0.08574,,,,,
79.70000,0.11610,-1.31490,0.07142,,,,,
79.80000,0.11727,-1.32203,0.08056,,,,,
79.90000,0.10614,-1.34203,0.08762,,,,,
80.00000,0.10169,-1.32891,0.09283,,,,,
80.10000,0.11071,-1.29230,0.10502,,,,,
80.20000,0.12011,-1.27497,0.10284,,,,,
80.30000,0.13501,-1.22539,0.10425,,,,,
80.40000,0.14218,-1.17874,0.11889,,,,,
80.50000,0.14124,-1.10641,0.12806,,,,,
80.60000,0.12657,-1.06205,0.13898,,,,,
80.70000,0.09329,-1.01847,0.15547,,,,,
80.80000,0.08091,-0.99876,0.16207,,,,,
80.90000,0.07516,-0.97512,0.15683,,,,,
81.00000,0.08296,-0.95163,0.13132,,,,,
81.10000,0.10064,-0.93055,0.11412,,,,,
81.20000,0.11895,-0.91287,0.11176,,,,,
81.30000,0.12029,-0.92118,0.10366,,,,,
81.40000,0.10895,-0.92076,0.10739,,,,,
81.50000,0.09169,-0.90916,0.10880,,,,,
81.60000,0.08837,-0.93078,0.10594,,,,,
81.70000,0.08690,-0.93682,0.11803,,,,,
81.80000,0.07420,-0.94955,0.13440,,,,,
81.90000,0.05651,-0.94880,0.15437,,,,,
82.00000,0.05021,-0.97253,0.16870,,,,,
82.10000,0.05086,-1.00753,0.17278,,,,,
82.20000,0.05531,-1.07405,0.15372,,,,,
82.30000,0.07074,-1.14514,0.12369,,,,,
82.40000,0.07213,-1.18942,0.10756,,,,,
82.50000,0.08421,-1.21443,0.10644,,,,,
82.60000,0.08550,-1.21669,0.10525,,,,,
82.70000,0.08689,-1.21566,0.08993,,,,,
82.80000,0.07888,-1.23842,0.07963,,,,,
82.90000,0.07575,-1.23707,0.07598,,,,,
83.00000,0.08806,-1.21606,0.07923,,,,,
83.10000,0.08601,-1.19259,0.07746,,,,,
83.20000,0.07927,-1.17007,0.09866,,,,,
83.30000,0.08613,-1.18220,0.10495,,,,,
83.40000,0.09055,-1.19005,0.10519,,,,,
83.50000,0.09938,-1.19476,0.11339,,,,,
83.60000,0.11291,-1.16534,0.11385,,,,,
83.70000,0.10907,-1.15178,0.12133,,,,,
83.80000,0.11460,-1.14836,0.10923,,,,,
83.90000,0.10305,-1.15091,0.11587,,,,,
84.00000,0.08625,-1.18525,0.13795,,,,,
84.10000,0.08993,-1.17324,0.12949,,,,,
84.20000,0.07668,-1.13347,0.13615,,,,,
84.30000,0.08017,-1.13963,0.10793,,,,,
84.40000,0.08331,-1.11008,0.05459,,,,,
84.50000,0.08594,-1.12423,0.01245,,,,,
84.60000,0.08181,-1.12297,-0.00511,,,,,
84.70000,0.08987,-1.15795,-0.00727,,,,,
84.80000,0.08217,-1.17133,-0.01487,,,,,
84.90000,0.07888,-1.24157,-0.01053,,,,,
85.00000,0.10322,-1.24396,-0.01988,,,,,
85.10000,0.11567,-1.24030,-0.01318,,,,,
85.20000,0.12338,-1.23365,0.00462,,,,,
85.30000,0.13391,-1.21961,0.02115,,,,,
85.40000,0.12323,-1.20923,0.03818,,,,,
85.50000,0.11425,-1.20191,0.03960,,,,,
85.60000,0.11640,-1.19702,0.03221,,,,,
85.70000,0.12143,-1.15566,0.01496,,,,,
85.80000,0.12445,-1.15556,0.00816,,,,,
85.90000,0.12295,-1.18158,0.00498,,,,,
86.00000,0.10978,-1.18764,0.01265,,,,,
86.10000,0.09452,-1.19159,0.03413,,,,,
86.20000,0.08892,-1.19398,0.04978,,,,,
86.30000,0.09857,-1.18249,0.04930,,,,,
86.40000,0.09399,-1.16762,0.04841,,,,,
86.50000,0.09749,-1.16192,0.04739,,,,,
86.60000,0.09892,-1.12996,0.03787,,,,,
86.70000,0.08974,-1.10251,0.03878,,,,,
86.80000,0.07558,-1.08986,0.04823,,,,,
86.90000,0.07867,-1.05477,0.05297,,,,,
87.00000,0.08173,-1.06173,0.04611,,,,,
87.10000,0.09379,-1.06903,0.02778,,,,,
87.20000,0.10034,-1.07580,0.01627,,,,,
87.30000,0.08766,-1.09118,0.01820,,,,,
87.40000,0.07486,-1.13216,0.00467,,,,,
87.50000,0.06015,-1.16098,-0.01042,,,,,
87.60000,0.05515,-1.20574,-0.01068,,,,,
87.70000,0.04361,-1.24216,0.00300,,,,,
87.80000,0.04511,-1.24484,0.00603,,,,,
87.90000,0.03507,-1.24126,0.01705,,,,,
88.00000,0.02582,-1.24094,0.01438,,,,,
88.10000,0.03345,-1.25841,0.01857,,,,,
88.20000,0.03419,-1.26172,0.01479,,,,,
88.30000,0.03411,-1.28554,0.01548,,,,,
88.40000,0.02740,-1.28969,0.00722,,,,,
88.50000,0.03938,-1.30484,-0.00804,,,,,
88.60000,0.04195,-1.32141,-0.00863,,,,,
88.70000,0.02661,-1.33076,0.00182,,,,,
88.80000,0.02456,-1.32241,0.01170,,,,,
88.90000,0.03011,-1.29867,0.02029,,,,,
89.00000,0.04243,-1.28785,0.01594,,,,,
89.10000,0.06041,-1.27253,0.01905,,,,,
89.20000,0.05802,-1.25622,0.02314,,,,,
89.30000,0.04455,-1.23139,0.01886,,,,,
89.40000,0.05109,-1.21386,0.01887,,,,,
89.50000,0.06189,-1.17020,0.01274,,,,,
89.60000,0.06158,-1.14823,0.00948,,,,,
89.70000,0.05202,-1.14050,0.01383,,,,,
89.80000,0.04136,-1.14143,0.01061,,,,,
89.90000,0.04046,-1.14709,0.00065,,,,,
90.00000,0.03266,-1.14524,-0.00922,,,,,
90.10000,0.02179,-1.14898,-0.01806,,,,,
90.20000,0.02891,-1.14588,-0.02547,,,,,
90.30000,0.03913,-1.14885,-0.03419,,,,,
90.40000,0.04384,-1.14534,-0.04278,,,,,
90.50000,0.04503,-1.14176,-0.04760,,,,,
90.60000,0.05967,-1.14488,-0.04986,,,,,
90.70000,0.06481,-1.16418,-0.05046,,,,,
90.80000,0.06107,-1.17779,-0.06430,,,,,
90.90000,0.04654,-1.20605,-0.06992,,,,,
91.00000,0.03367,-1.22052,-0.07610,,,,,
91.10000,0.03230,-1.21632,-0.08198,,,,,
91.20000,0.03746,-1.21174,-0.08711,,,,,
91.30000,0.04573,-1.22015,-0.08564,,,,,
91.40000,0.04561,-1.22220,-0.08633,,,,,
91.50000,0.03463,-1.23326,-0.08530,,,,,
91.60000,0.02179,-1.24825,-0.08059,,,,,
91.70000,0.02161,-1.27351,-0.07713,,,,,
91.80000,0.01918,-1.27965,-0.07755,,,,,
91.90000,0.01572,-1.27456,-0.08293,,,,,
92.00000,0.00894,-1.27650,-0.08201,,,,,
92.10000,0.01339,-1.28852,-0.08052,,,,,
92.20000,0.01744,-1.31455,-0.07886,,,,,
92.30000,0.02708,-1.33939,-0.06306,,,,,
92.40000,0.04819,-1.33880,-0.06654,,,,,
92.50000,0.05495,-1.32414,-0.06050,,,,,
92.60000,0.04998,-1.30309,-0.05544,,,,,
92.70000,0.03586,-1.28058,-0.04291,,,,,
92.80000,0.04600,-1.25948,-0.04451,,,,,
92.90000,0.04689,-1.24124,-0.04528,,,,,
93.00000,0.05497,-1.22639,-0.04551,,,,,
93.10000,0.06314,-1.21489,-0.05963,,,,,
93.20000,0.06125,-1.22873,-0.07155,,,,,
93.30000,0.05704,-1.25528,-0.08107,,,,,
93.40000,0.04887,-1.26393,-0.08831,,,,,
93.50000,0.03930,-1.28731,-0.09358,,,,,
93.60000,0.01747,-1.30381,-0.09439,,,,,
93.70000,0.01273,-1.33081,-0.09832,,,,,
93.80000,0.00862,-1.33226,-0.09791,,,,,
93.90000,0.01460,-1.33213,-0.10935,,,,,
94.00000,0.02559,-1.33115,-0.11487,,,,,
94.10000,0.04138,-1.31701,-0.10519,,,,,
94.20000,0.06139,-1.29697,-0.09370,,,,,
94.30000,0.06004,-1.27562,-0.08519,,,,,
94.40000,0.06867,-1.25565,-0.07916,,,,,
94.50000,0.04786,-1.20651,-0.05807,,,,,
94.60000,0.05310,-1.20026,-0.06194,,,,,
94.70000,0.05987,-1.19611,-0.06225,,,,,
94.80000,0.05442,-1.19355,-0.06055,,,,,
94.90000,0.06444,-1.19213,-0.06359,,,,,
95.00000,0.07896,-1.19147,-0.06896,,,,,
95.10000,0.09146,-1.17854,-0.07793,,,,,
95.20000,0.08916,-1.17283,-0.07382,,,,,
95.30000,0.09751,-1.17170,-0.07705,,,,,
95.40000,0.11095,-1.16365,-0.08404,,,,,
95.50000,0.12279,-1.17489,-0.09811,,,,,
95.60000,0.12635,-1.18297,-0.10904,,,,,
95.70000,0.11876,-1.18850,-0.10863,,,,,
95.80000,0.09951,-1.19207,-0.10479,,,,,
95.90000,0.09120,-1.19419,-0.09944,,,,,
96.00000,0.08669,-1.20807,-0.09660,,,,,
96.10000,0.08474,-1.20158,-0.09829,,,,,
96.20000,0.07197,-1.18760,-0.09664,,,,,
96.30000,0.06068,-1.18042,-0.09331,,,,,
96.40000,0.04820,-1.19048,-0.08936,,,,,
96.50000,0.03320,-1.18680,-0.08546,,,,,
96.60000,0.03069,-1.18541,-0.08766,,,,,
96.70000,0.03538,-1.18544,-0.09302,,,,,
96.80000,0.06223,-1.20859,-0.09394,,,,,
96.90000,0.07391,-1.21039,-0.10934,,,,,
97.00000,0.08221,-1.20973,-0.11139,,,,,
97.10000,0.07540,-1.20775,-0.11148,,,,,
97.20000,0.07638,-1.20525,-0.11049,,,,,
97.30000,0.06918,-1.20270,-0.10615,,,,,
97.40000,0.07367,-1.20038,-0.09754,,,,,
97.50000,0.07179,-1.18884,-0.09592,,,,,
97.60000,0.07898,-1.18288,-0.09835,,,,,
97.70000,0.07497,-1.19338,-0.09711,,,,,
97.80000,0.08377,-1.21199,-0.09396,,,,,
97.90000,0.07708,-1.22051,-0.09004,,,,,
98.00000,0.06244,-1.21301,-0.08610,,,,,
98.10000,0.05725,-1.19734,-0.08252,,,,,
98.20000,0.06403,-1.18825,-0.08235,,,,,
98.30000,0.06438,-1.18372,-0.08692,,,,,
98.40000,0.06733,-1.18217,-0.09937,,,,,
98.50000,0.05590,-1.18243,-0.10643,,,,,
98.60000,0.04383,-1.18366,-0.10981,,,,,
98.70000,0.04190,-1.19808,-0.10797,,,,,
98.80000,0.04891,-1.20564,-0.10340,,,,,
98.90000,0.05708,-1.20865,-0.10061,,,,,
99.00000,0.06510,-1.22159,-0.09625,,,,,
99.10000,0.06602,-1.21643,-0.09428,,,,,
99.20000,0.06292,-1.21130,-0.08816,,,,,
99.30000,0.05788,-1.19713,-0.08317,,,,,
99.40000,0.06158,-1.18889,-0.09067,,,,,
99.50000,0.06667,-1.17839,-0.09585,,,,,
99.60000,0.07202,-1.17404,-0.10774,,,,,
99.70000,0.07700,-1.17355,-0.11084,,,,,
99.80000,0.06575,-1.16567,-0.10873,,,,,
